,doc_url,name,bulletin,topic,commission
2_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/752-Iniciativa-Convencional-Constituyente-del-cc-Raul-Celis-sobre-Fuerzas-Policiales-01-02.pdf,"Iniciativa Convencional Constituyente que establece el estatuto de las fuerzas policiales, su organización y dependencia",Boletín 752-1,Fuerzas Policiales,Comisión sobre Sistema Político
4_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/750-Iniciativa-Convencional-Constituyente-del-cc-Raul-Celis-sobre-Estados-de-Excepcion-01-02.pdf,Iniciativa Convencional Constituyente de Estados de excepción constitucional,Boletín 750-1,Estados de excepción constitucional,Comisión sobre Sistema Político
6_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/748-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Woldarsky-sobre-Secreto-Valech-1200-01-02.pdf,"Iniciativa Convencional Constituyente que dispone terminar con el secreto de los archivos de Comisión nacional sobre prisión política y tortura, y la obligación de investigar los crímenes de lesa humanidad",Boletín 748-6,Secreto archivos Comisión Valech,Comisión sobre Sistemas de Justicia
8_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/746-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Woldarsky-sobre-Derecho-a-la-Educacion-en-Derechos-Humanos-01-02.pdf,Iniciativa Convencional Constituyente de derecho a la educación en derechos humanos,Boletín 746-4,Derecho a la educación en derechos  humanos,Comisión de Derechos Fundamentales
10_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/744-Iniciativa-Convencional-Constituyente-del-cc-Maria-Trinidad-Castillo-sobre-Emprendimiento-01-02.pdf,Iniciativa Convencional Constituyente de Estado emprendedor,Boletín 744-5,Estado emprendedor,Comisión sobre Medio Ambiente
1_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/753-Iniciativa-Convencional-Constituyente-del-cc-Raul-Celis-sobre-Gobiernos-Locales.pdf,"Iniciativa Convención Constituyente que regula la estructura, atribuciones, competencias y financiamiento de los Gobiernos Locales",Boletín 753-3, Gobiernos Locales,Comisión sobre Forma de Estado
3_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/751-Iniciativa-Convencional-Constituyente-del-cc-Raul-Celis-sobre-Fuerzas-Armadas-01-02.pdf,"Iniciativa Convencional Constituyente que establece el estatuto de las Fuerzas Armadas, su organización y dependencia",Boletín 751-1,Estatuto Fuerzas Armadas,Comisión sobre Sistema Político
5_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/749-Iniciativa-Convencional-Constituyente-del-cc-Pedro-Munoz-sobre-Acceso-a-la-Salud.pdf,Iniciativa Convencional Constituyente reparación ante la afectación del derecho a la salud,Boletín 749-4,Derecho a  la salud,Comisión de Derechos Fundamentales
7_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/747-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Woldarsky-sobre-Derechos-Laborales-1200-01-02.pdf,"Iniciativa Convencional Constituyente de derecho al trabajo, derecho de trabajadoras y trabajadores y derechos sindicales",Boletín 747-4,Derecho al trabajo,Comisión de Derechos Fundamentales
9_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/745-Iniciativa-Convencional-Constituyente-del-cc-Maria-Trinidad-Castillo-sobre-Aguas-01-02.pdf,Iniciativa Convencional Constituyente de Dominio público de las aguas,Boletín 745-5,Dominio público de las aguas,Comisión sobre Medio Ambiente
